rank,match,davit,luis,affinity,viewing,viewing_date,davit_verdict,davit_score,luis_verdict,luis_score,address,area,price,m2,price_per_m2,rooms,bedrooms,floor,build_year,energy_label,ownership,leasehold_until,vve_monthly,outdoor,status,summary,url,last_vote
1,YES,yes,yes,79,dropped,,,3.5,,,"Antillenstraat 26 H, 1058 HB Amsterdam",1058HB,795000,84,9464,5,3,,1935,B,freehold (eigen grond),,179,Garden (Back garden),under offer,"Freehold 84 m² ground-floor flat from 1935: 3 bedrooms, garden (back garden), energy label B, VvE €179/month, €9.464/m².",https://move.nl/exchange-object/RXhjaGFuZ2VPYmplY3Q6Njg3ODY2MnxhZWQ5M2Y5ZjgyNmY3MmY2MjVlZTcxMGMyZTBkZTBhYTRlMGQ3YzI3ZTRmMTY5ZDQzM2FmMjhiMzY1NjEzNzY2NjM5YzliOTc1NWMxZDBmOGFmNTY3NjAwODFkODg0MTQ4M2RmZWM0ZGM5NWRhMDQ2MmI2N2Q2MWZjMzJjMTEzMXw5MDc1NDk/overzicht?searcherDossierId=U2VhcmNoZXJEb3NzaWVyOjE5NzE1MDI2&publicSearcherId=UHVibGljU2VhcmNoZXI6NTMyNzYwNA&searchObjectId=U2VhcmNoZXJPYmplY3Q6MTk3MTUwMjY,2026-09-06 19:55
2,YES,yes,yes,78,dropped,,,,,,"Overtoom 244 2, 1054 JA Amsterdam",1054JA,800000,94,8511,3,2,2nd floor,1899,A,freehold (eigen grond),,149,Balcony 8 m²,available,"Freehold 94 m² upstairs flat from 1899 on the 2nd floor: 2 bedrooms, balcony 8 m², energy label A, VvE €149/month, €8.511/m².",https://move.nl/exchange-object/RXhjaGFuZ2VPYmplY3Q6Njg3OTI4MXw1YzVhY2RjNTVhZDRjNGJjZjQ5ODFjNmM2NWQ1NTBjYWRjOWY3ZjY4NDI3NTA0YThkMjk1MDJiY2ZhYzQxYjNjODgzNTY5OWNkMTdkYTZiYWI0ZjgxZDg0ZjU4YjhkNTg3YjJjOGQ5OTRiZDhhMzE2NDcwZDAzNDJlNTM5ZTc4OXw5MDc1NDk/overzicht,2026-09-11 06:04
3,YES,yes,yes,77,,,,,,,"Fagelstraat 42 3, 1052 GD Amsterdam",1052GD,880000,98,8980,4,2,3rd floor,1902,A,freehold (eigen grond),,100,Balcony 20 m²,available,"Freehold 98 m² upstairs flat from 1902 on the 3rd floor: 2 bedrooms, balcony 20 m², energy label A, VvE €100/month, €8.980/m².",https://move.nl/exchange-object/RXhjaGFuZ2VPYmplY3Q6Njg5NDM1N3w5ZDQ3NDczZDAyZmI5ZTdkM2NmMDM5MGQzMWFjM2ZmYzExZjEwNjdiNDVjMDZlNDUzODQzNzUzMTJiMTg1MDQ0OTk0NWNlNjdhNDM4NDg5ZDRlYTljZThhODdkMmVkYWU3NTRjOTU3NTM1Mzg3NzFhNTdhZjIyYTcyNDFiYTliNnw5MDc1NDk/overzicht,2026-09-12 06:05
4,YES,yes,yes,74,,,,,,,"Rijnstraat 12 2, 1078 RA Amsterdam",1078RA,599000,72,8319,3,2,2nd floor,1922,C,leasehold (erfpacht),,200,Balcony 9 m²,available,"Leasehold (canon not yet checked), 72 m² upstairs flat from 1922 on the 2nd floor: 2 bedrooms, balcony 9 m², energy label C, VvE €200/month, €8.319/m².",https://move.nl/exchange-object/RXhjaGFuZ2VPYmplY3Q6Njg5NjUzNHxjZTRhOTRkNzhhMThkN2MwM2ExNDFhMzYxNjgxYTVkMTMwZmJiYTdjMmM3MTAzNGE5Njk0ZDY4Y2Q2MzI5ZmU0MDFhOTlmZmRlZTE4N2I5NjZhMTNiODFhMGNkYmM3NjdmZWUwOTJlNjllNDJiM2M3YjRkMDIyZTQ4ODJmZjIwN3w5MDc1NDk/overzicht,2026-09-11 18:13
5,YES,yes,yes,73,,,,,,,"Saenredamstraat 23 3, 1072 CB Amsterdam",1072CB,650000,77,8442,5,2,2nd floor,1879,A,freehold (eigen grond),,220,Balcony 11 m²,available,"Freehold 77 m² duplex upstairs flat from 1879 on the 2nd floor: 2 bedrooms, balcony 11 m² plus roof terrace, energy label A, VvE €220/month, €8.442/m².",https://move.nl/exchange-object/RXhjaGFuZ2VPYmplY3Q6Njg5ODM1OHwzOTI0Y2FmMDg1YTEyMDlhZTgzMGE4MjNlNTNhNzEzNjhmYjA5ZDllZDk3NDViN2EyM2U4OWVjNzNkOGRmYjg3ZDQ5OGZkYzI3MWY2MDkzMGRhMmVkMWI5MmE4ZTRkNjhkMjgzMmJkMDUyMzY4ZWM3NTJmNGM3MjU3NGYyZmY0Mnw5MDc1NDk/overzicht,2026-09-12 06:04
6,YES,yes,yes,71,requested,,,,,,"Van Hallstraat 15 3, 1051 GW Amsterdam",1051GW,600000,69,8696,3,2,3rd floor,1905,C,leasehold (erfpacht),Eeuwigdure,198,Balcony 24 m²,under offer,"Leasehold bought off in perpetuity, 69 m² upstairs flat from 1905 on the 3rd floor: 2 bedrooms, balcony 24 m², energy label C, VvE €198/month, €8.696/m².",https://move.nl/exchange-object/RXhjaGFuZ2VPYmplY3Q6Njg3OTQwN3w3NDM2YTcwNmJhMzE0M2ZkNWNhZmE3YjFhNGM3YjQ1MTQ2YmM5MDlkYTRjYjQ1ZjRhNTAxNWQ4ODNhMzlmMjAyN2IzNzI2NGNiOThjZjU5NTM2M2E3Zjg4ZGNmYTE3MjNkOGU0NzkyZmVhNWZmODM4N2U4Y2VhMzU0MzNiODQ5NXw5MDc1NDk/overzicht,2026-09-06 19:40
7,YES,yes,yes,69,,,,,,,"De Clercqstraat 48 1, 1052 NH Amsterdam",1052NH,625000,68,9191,3,2,1st floor,1903,D,leasehold (erfpacht),Eeuwigdure,100,Balcony 6 m²,available,"Leasehold bought off in perpetuity, 68 m² upstairs flat from 1903 on the 1st floor: 2 bedrooms, balcony 6 m², energy label D, VvE €100/month, €9.191/m².",https://move.nl/exchange-object/RXhjaGFuZ2VPYmplY3Q6Njg5Njg5NHw2MWIwOGVmMzlhZTJiNjNjY2VkYWQ2MGIxOTY2MmRjOGE4MTRmZTZhNGRiMjI2MzYzNjYzNmFiNzYyY2VjYmI5MDg0ZTExMmJhNTBjZDhjNmYxNDYzZDBiOGUwM2MxODFjMjdmMjVmYTYxYTk2ODUyNjg1NTIzYjUxMDUzYzZmM3w5MDc1NDk/overzicht,2026-09-11 20:59
8,YES,yes,yes,68,,,,,,,"Rijnstraat 236 1, 1079 HV Amsterdam",1079HV,685000,85,8059,3,2,2nd floor,1935,C,leasehold (erfpacht),2059-02-15,108,Balcony 5 m²,available,"Leasehold paid until 2059, 85 m² upstairs flat from 1935 on the 2nd floor: 2 bedrooms, balcony 5 m², energy label C, VvE €108/month, €8.059/m².",https://move.nl/exchange-object/RXhjaGFuZ2VPYmplY3Q6Njg5NjUxOXwyMTYyMWU1NGE0YThjZjZmOGI0NGY5MDUzM2RmNWZiZGU1MDc5YzIwMzZiYzJiMGZlZGMzZTE5YTJiMTM4MWMzNTIzMjhmNDg3MDI0MWFhNTM0YzQyOTRlYTVmNmY0NjVhNmI3NmNiYTNhOWYyMDIzMDAwNGNlOTczMmFiNmZmMHw5MDc1NDk/overzicht,2026-09-11 18:13
9,YES,yes,yes,68,requested,,,,,,"Nassaukade 134 4, 1052 EE Amsterdam",1052EE,765000,85,9000,3,2,4th floor,1902,A,leasehold (erfpacht),Eeuwigdure,197,None,available,"Leasehold bought off in perpetuity, 85 m² upstairs flat from 1902 on the 4th floor: 2 bedrooms, energy label A, VvE €197/month, €9.000/m².",https://move.nl/exchange-object/RXhjaGFuZ2VPYmplY3Q6Njg5ODczMnxiZmUyZmVjNDA3OGMwNDg1ODE3MmU5NzZjMjA5NGFlNWYzYjYxMTUyN2IxNmJmM2U4MjQwMzZmZDBjYzY2MTcyMzE1NzMxNDJhY2JjNGY3MGNiODFhYWVlZWUyNzBjZTA4MDhkNTVjZDdkNGZkNGQzY2UyOGY0ZmJkYTI0ZTBiOXw5MDc1NDk/overzicht,2026-09-11 21:00
10,YES,yes,yes,67,requested,,,,,,"Bosboom Toussaintstraat 68 B, 1054 AV Amsterdam",1054AV,790000,67,11791,3,2,,1896,C,freehold (eigen grond),,226,Balcony 2 m²,available,"Freehold 67 m² intermediate floor from 1896: 2 bedrooms, balcony 2 m², energy label C, VvE €226/month, €11.791/m².",https://move.nl/exchange-object/RXhjaGFuZ2VPYmplY3Q6Njg1OTc4M3w5MmYyYTEyNWYyMmQzNjM1NDlmMjA5YzE1MGYxZWYzOTcwNDEyN2MyZWQ0NTU1ZThkM2E5MmVmY2MzNDdiNWEzNGI3ZDI5OTliYmViMWI3ZDVjZWFhYjBmOTQxNjEzZTgxMTdiMjI3ZTRmMTljZDgwMDhmOGNmNDMwYTdlNDNjYnw5MDc1NDk/overzicht,2026-09-10 20:28
